//**************Start***************
CenterX: -2|| CenterY: 9|| Mode: 45
18/6/2564 || 0:0:1|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:2|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:3|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:4|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:5|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:6|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:8|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:9|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:10|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:11|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:12|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:13|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:14|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:16|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:17|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:18|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:19|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:20|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:21|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:22|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:24|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:25|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:26|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:27|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:28|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:29|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:30|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:32|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:33|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:34|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:35|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:36|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:37|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:38|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:39|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:41|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:42|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:43|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:44|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:45|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:46|| AngleX: 0, AngleY: 8 
18/6/2564 || 0:0:47|| AngleX: 0, AngleY: 8 
